cluster,n,m,modularity,cpm_score,connectivity,ktruss_vals
216418,20,20,2.1726879162477883e-07,18.1,1.0,2.0
16798,93,176,1.9119225191089906e-06,133.22,1.0,5.0
60209,45,82,8.907853338231327e-07,72.1,1.0,5.0
122840,30,36,3.9108493614376493e-07,31.65,1.0,3.0
129002,29,40,4.3453582049705355e-07,35.94,1.0,3.0
24551,74,218,2.367963496595125e-06,190.99,1.0,6.0
78284,39,54,5.866211079354946e-07,46.59,1.0,3.0
2276,148,668,7.256576481859347e-06,559.22,2.0,9.0
25228,73,115,1.2492896705154925e-06,88.72,1.0,5.0
94630,35,40,4.3453868180555703e-07,34.05,1.0,2.0
89423,36,46,4.997118678148498e-07,39.7,1.0,3.0
155829,26,26,2.8244487850758544e-07,22.75,1.0,2.0
235672,18,18,1.9554206455893395e-07,16.47,1.0,3.0
175300,24,24,2.6072171423994267e-07,21.24,1.0,3.0
74302,40,62,6.735138318033686e-07,54.2,1.0,3.0
45199,53,98,1.064556655729032e-06,84.22,1.0,3.0
22520,78,110,1.1949531117989815e-06,79.97,1.0,4.0
12770,100,175,1.9010622188992066e-06,125.5,1.0,3.0
57979,46,65,7.061177455788334e-07,54.65,1.0,3.0
252332,16,17,1.8467743839766125e-07,15.8,1.0,2.0
110860,32,34,3.693504698255499e-07,29.04,1.0,2.0
43603,54,70,7.604417748738322e-07,55.69,1.0,3.0
184335,23,27,2.9331395223628483e-07,24.47,1.0,3.0
23535,76,117,1.2710079825668517e-06,88.5,1.0,3.0
49828,50,66,7.169764911285948e-07,53.75,1.0,5.0
138257,28,29,3.15041039753831e-07,25.22,1.0,2.0
258553,15,15,1.6295185137059314e-07,13.95,1.0,2.0
165024,25,25,2.715826352751907e-07,22.0,1.0,3.0
53658,48,78,8.4732795493683e-07,66.72,1.0,3.0
137970,28,29,3.1503877097635125e-07,25.22,1.0,2.0
115695,31,74,8.038867402897718e-07,69.35,1.0,2.0
146247,27,37,4.0194364038777346e-07,33.49,1.0,3.0
74409,40,59,6.409362185218566e-07,51.2,1.0,4.0
22973,77,120,1.3035856261785878e-06,90.74,1.0,4.0
154997,26,31,3.367657168446694e-07,27.75,1.0,3.0
110384,32,35,3.802184914672218e-07,30.04,1.0,3.0
21167,81,133,1.444779722457465e-06,100.6,1.0,3.0
34721,61,81,8.799174058865114e-07,62.7,1.0,4.0
21517,80,144,1.5643231495758217e-06,112.4,1.0,5.0
99352,34,47,5.105751168718289e-07,41.39,1.0,3.0
25753,72,207,2.2486793451854148e-06,181.44,1.0,7.0
109717,32,43,4.6712537869417165e-07,38.04,1.0,2.0
17712,90,316,3.432648034462706e-06,275.95,1.0,5.0
122062,30,36,3.910805913981585e-07,31.65,1.0,3.0
4435,102,191,2.0748426138792417e-06,139.49,1.0,5.0
12470,100,299,3.2480156667486813e-06,249.5,1.0,6.0
123205,30,33,3.58491342109063e-07,28.65,1.0,3.0
175002,24,38,4.128103237525594e-07,35.24,1.0,2.0
44731,53,101,1.0971652840841111e-06,87.22,1.0,4.0
194155,22,36,3.910828450400303e-07,33.69,1.0,4.0
58414,46,63,6.84390747193201e-07,52.65,1.0,3.0
68267,42,59,6.409316424345305e-07,50.39,1.0,4.0
145813,27,35,3.802205630982444e-07,31.49,1.0,3.0
35828,60,92,9.994129392205497e-07,74.3,1.0,4.0
204985,21,30,3.2588955867779793e-07,27.9,1.0,3.0
30156,66,140,1.520809714770434e-06,118.55,1.0,2.0
94131,35,41,4.453996382457361e-07,35.05,1.0,2.0
39526,57,69,7.495779996700751e-07,53.04,1.0,3.0
94700,35,42,4.5626740969256264e-07,36.05,1.0,3.0
94036,35,53,5.757611916626829e-07,47.05,1.0,3.0
27185,70,145,1.5751266953862412e-06,120.85,1.0,4.0
55737,47,62,6.73483594959688e-07,51.19,1.0,4.0
23615,76,78,8.473517824553637e-07,49.5,1.0,3.0
2128,158,803,8.722114694325227e-06,678.97,2.0,7.0
58450,46,86,9.34250899509637e-07,75.65,1.0,2.0
175165,24,35,3.8022081202441316e-07,32.24,1.0,3.0
23082,77,128,1.3905184459242414e-06,98.74,1.0,2.0
81543,38,53,5.757482473838923e-07,45.97,1.0,4.0
205776,21,23,2.498602862945956e-07,20.9,1.0,2.0
49971,50,62,6.735279536796669e-07,49.75,1.0,4.0
34731,61,100,1.0863286751133809e-06,81.7,1.0,3.0
104985,33,38,4.128069418440503e-07,32.72,1.0,2.0
60688,45,55,5.97491361769551e-07,45.1,1.0,3.0
130824,29,37,4.019473375181845e-07,32.94,1.0,3.0
94199,35,38,4.128069418440503e-07,32.05,1.0,2.0
46503,52,67,7.278443221442177e-07,53.74,1.0,4.0
35683,60,104,1.129783256066007e-06,86.3,1.0,4.0
2158,156,1135,1.2328729299299221e-05,1014.1,2.0,9.0
227459,19,20,2.1726854142993342e-07,18.29,1.0,2.0
68811,42,67,7.278355126892971e-07,58.39,1.0,3.0
245027,17,17,1.8467919448223669e-07,15.64,1.0,3.0
215675,20,24,2.607228476402949e-07,22.1,1.0,3.0
195901,22,26,2.8245144836459014e-07,23.69,1.0,3.0
49860,50,85,9.23384050390766e-07,72.75,1.0,3.0
49854,50,79,8.582054993247649e-07,66.75,1.0,4.0
137556,28,31,3.3675256108042463e-07,27.22,1.0,2.0
62774,44,60,6.517952690260899e-07,50.54,1.0,4.0
116898,31,32,3.4762473973305664e-07,27.35,1.0,3.0
195159,22,22,2.389961149391652e-07,19.69,1.0,2.0
99284,34,39,4.236752349235263e-07,33.39,1.0,2.0
16841,93,186,2.020366149008059e-06,143.22,1.0,4.0
68454,42,67,7.278490022335285e-07,58.39,1.0,3.0
216008,20,22,2.3899645054840655e-07,20.1,1.0,2.0
82119,38,45,4.888514917500014e-07,37.97,1.0,3.0
58384,46,57,6.192123574851726e-07,46.65,1.0,3.0
4436,102,210,2.281168124338217e-06,158.49,1.0,6.0
154028,26,38,4.128091773113909e-07,34.75,1.0,3.0
1655,211,1129,1.2263127660606471e-05,907.45,3.0,8.0
24563,74,116,1.260121954449361e-06,88.99,1.0,3.0
31088,65,99,1.0754598286843385e-06,78.2,1.0,2.0
173971,24,27,2.933108960826447e-07,24.24,1.0,3.0
185240,23,26,2.8245062387226053e-07,23.47,1.0,3.0
12518,100,251,2.7266790857772856e-06,201.5,1.0,5.0
62712,44,93,1.010265888304519e-06,83.53999999999999,1.0,5.0
98845,34,70,7.604375630737415e-07,64.39,1.0,4.0
17457,91,153,1.662091363726049e-06,112.05,1.0,3.0
82174,38,47,5.105840408912052e-07,39.97,1.0,2.0
205278,21,31,3.3676409025362895e-07,28.9,1.0,2.0
19171,86,166,1.8032984269133683e-06,129.45,1.0,2.0
226998,19,19,2.0640434965765943e-07,17.29,1.0,2.0
2679,131,325,3.5304693831531486e-06,239.85,1.0,6.0
110296,32,35,3.802191922193178e-07,30.04,1.0,2.0
53784,48,67,7.278464293571959e-07,55.72,1.0,3.0
154981,26,29,3.15040243821479e-07,25.75,1.0,2.0
2962,124,247,2.683074556769421e-06,170.74,1.0,4.0
19163,86,155,1.6836548795184447e-06,118.44999999999999,1.0,4.0
184532,23,24,2.6071997703799704e-07,21.47,1.0,2.0
2745,129,473,5.1379384876297715e-06,390.44,2.0,6.0
27937,69,102,1.1080652248347583e-06,78.53999999999999,1.0,3.0
129645,29,31,3.367627930169587e-07,26.939999999999998,1.0,3.0
122651,30,41,4.4540110852400635e-07,36.65,1.0,3.0
43326,54,81,8.799374431006575e-07,66.69,1.0,4.0
164350,25,29,3.150400921998622e-07,26.0,1.0,3.0
50178,50,71,7.713016094792698e-07,58.75,1.0,3.0
30858,65,109,1.1840871913219454e-06,88.2,1.0,5.0
3080,122,307,3.334920725222435e-06,233.19,1.0,6.0
38207,58,87,9.450959926819887e-07,70.47,1.0,3.0
